bin,value
bin_522,0.000000
bin_523,0.000000
bin_524,0.000000
bin_525,0.000000
bin_526,0.000000
bin_527,0.000000
bin_528,0.000000
bin_529,0.000000
bin_530,0.000000
bin_531,0.000000
bin_532,0.000000
bin_533,0.000000
bin_534,0.000000
bin_535,0.000000
bin_536,0.000000
bin_537,0.000000
bin_538,0.000000
bin_539,0.000000
bin_540,0.000000
bin_541,0.000000
bin_542,0.000000
bin_543,317.000000
bin_544,443.000000
bin_545,715.000000
bin_546,1048.000000
bin_547,589.000000
bin_548,691.000000
bin_549,524.000000
bin_550,541.000000
bin_551,646.000000
bin_552,594.000000
bin_553,751.000000
bin_554,481.000000
bin_555,433.000000
bin_556,453.000000
bin_557,409.000000
bin_558,460.000000
bin_559,524.000000
bin_560,480.000000
bin_561,533.000000
bin_562,529.000000
bin_563,578.000000
bin_564,573.000000
bin_565,517.000000
bin_566,497.000000
bin_567,571.000000
bin_568,486.000000
bin_569,521.000000
bin_570,534.000000
bin_571,572.000000
bin_572,554.000000
bin_573,557.000000
bin_574,536.000000
bin_575,584.000000
bin_576,586.000000
bin_577,628.000000
bin_578,645.000000
bin_579,607.000000
bin_580,656.000000
bin_581,605.000000
bin_582,611.000000
bin_583,674.000000
bin_584,762.000000
bin_585,783.000000
bin_586,744.000000
bin_587,839.000000
bin_588,757.000000
bin_589,795.000000
bin_590,692.000000
bin_591,739.000000
bin_592,745.000000
bin_593,814.000000
bin_594,706.000000
bin_595,774.000000
bin_596,674.000000
bin_597,675.000000
bin_598,719.000000
bin_599,779.000000
bin_600,733.000000
bin_601,785.000000
bin_602,861.000000
bin_603,808.000000
bin_604,884.000000
bin_605,900.000000
bin_606,853.000000
bin_607,924.000000
bin_608,844.000000
bin_609,779.000000
bin_610,735.000000
bin_611,867.000000
bin_612,795.000000
bin_613,803.000000
bin_614,862.000000
bin_615,849.000000
bin_616,859.000000
bin_617,836.000000
bin_618,963.000000
bin_619,926.000000
bin_620,904.000000
bin_621,1116.000000
bin_622,1132.000000
bin_623,1249.000000
bin_624,1126.000000
bin_625,1479.000000
